GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0006366	transcription by RNA polymerase II	120	891	13.47%	558	6438	8.67%	ABF1, ADR1, AFT1, AZF1, BUR2, BUR6, CAF40, CBF1, CEG1, CET1, CFT1, CHA4, CIN5, CYC8, DAL82, DBP2, DIG1, EDS1, ELA1, FHL1, FRA1, FUN19, GAL11, GCN4, GCN5, GIM3, GLC7, GPB2, HAA1, HAC1, HIR3, HOG1, HPR1, HSF1, IFH1, IME1, INO4, ISW2, MAC1, MAL13, MED1, MGA1, MKS1, MSN2, MSS11, NAB3, NDD1, NPL3, NRD1, NUP133, NUT2, OAF1, PDR1, PDR3, PHO2, PHO23, PIP2, POB3, PPR1, PSR1, PZF1, RAT1, RCO1, RIM15, ROX1, RPB2, RPB5, RPO21, RPO26, RPT3, RSC1, RSC2, RSC58, RSC6, RSC9, RSP5, SAS2, SAS3, SCC2, SKN7, SKO1, SNF11, SNF6, SPT16, SPT5, SPT6, SPT8, SSN2, SSN3, STB1, STB5, STE12, STP3, SUA7, SUB1, SWI4, SWI5, SWP82, TAF12, TAF4, TAF7, TBS1, TFB1, THO2, TUP1, UPC2, URC2, VPS15, WHI2, YAK1, YBL021C, YGR274C, YJR084W, YKL222C, YKR095W, YLR256W, YNR063W, YOR338W, YPR015C, YPR196W
GO:0042221	response to chemical	97	891	10.89%	533	6438	8.28%	ACT1, ADR1, AGA1, ARR3, ASI1, AZF1, BDS1, CCW12, CIN5, CMK2, DAL82, DCR2, DIG1, DNF1, FRA1, FUS3, GCN4, GCY1, GIM3, GLC7, GLR1, GPA2, GPB1, GPB2, HAC1, HOG1, HRD3, IRA2, ISW2, KIN1, KRE5, LOT6, MNS1, MSG5, MSN2, NUP42, OAF1, OTU1, PBS2, PDR1, PDR10, PDR16, PDR3, PDR5, PIP2, PMP3, PMT1, PSR1, PSY2, QDR1, RAS2, RCK2, RHO5, ROX1, RPL42B, RSC9, RSP5, SCP160, SEC61, SIT4, SKN7, SPT6, SSK1, SSK2, SSN2, SSN3, STB5, STE11, STE12, STE24, STE5, STE50, SUB1, SVF1, TOR1, TPO1, TUP1, UBC4, UPC2, VMR1, YBL021C, YCF1, YDR307W, YDR541C, YGL039W, YHI9, YHK8, YIL160C, YJR084W, YKL069W, YKL071W, YLR256W, YNL190W, YNR063W, YOS9, ZTA1, ZWF1
GO:0000278	mitotic cell cycle	77	891	8.64%	381	6438	5.92%	ACT1, AFT1, APC1, APC2, ARP10, BEM2, BNI1, BNR1, CDC12, CDC16, CDC23, CDC25, CDC5, CDC55, CHK1, CLB1, CLB5, CLN3, CSM3, CTF4, CYK3, DCC1, DCR2, DSL1, DSN1, DYN1, ECO1, EXO1, GIC1, GIC2, GLC7, HIR3, HOG1, HSL7, IQG1, KAP104, KEL1, KEL2, MCM6, MSA2, MYO5, NBA1, NDD1, NET1, NSL1, NUP53, PAN1, PDS5, PSE1, RIM15, ROM2, RTS1, RVS167, SAP155, SAP185, SCC2, SDS24, SFI1, SIT4, SKG6, SLA2, SLD2, SMC1, SMC2, SPC110, SPC72, SPT6, STB1, STU1, STU2, SWI4, SWI5, TEM1, TPD3, YBL031W, YGR053C, YKL089W
GO:0055085	transmembrane transport	70	891	7.86%	461	6438	7.16%	AFG3, AGP3, ALP1, ARN2, ARR3, ATG22, ATM1, ATO2, AVT1, AVT6, BPT1, COX6, FCY2, FEN2, FLX1, FUN26, GAL2, GEX2, HOT13, HXT17, HXT2, HXT6, HXT8, JEN1, KHA1, MAL31, MCH1, MCH2, MEP1, MMP1, MMT1, MMT2, MPH3, MSC2, PDR10, PDR11, PDR5, PEX10, PEX14, PEX6, PHM7, PHO84, PHO91, PMC1, PUG1, QDR1, SAM3, SEC61, SEC63, SGE1, SLY41, STE24, THI7, THI72, TIM44, TPO1, TRK1, UGA4, VMA2, VMR1, YCF1, YFL054C, YHK8, YHM2, YIL171W, YJL193W, YMC1, YOR378W, YPL279C, YRO2
GO:0051321	meiotic cell cycle	64	891	7.18%	323	6438	5.02%	ACT1, AFT1, AMA1, ARP2, BMH2, CDC5, CDC55, CHS3, CLB1, CLB5, CRR1, CSM3, CWP1, DNA2, DSN1, ECO1, EXO1, GAS4, GIP1, GLC7, GPA2, GPB2, HAC1, HOP1, IME1, ISC10, MLH3, MMS22, MPC54, MSC1, MSC7, MSH3, PDR16, PDS5, PSY2, QDR1, RAD54, RAS2, RCK2, RIM15, RIM8, RMD6, RRT12, RTS1, SCP160, SEC4, SMC2, SPO21, SPO73, SPS2, SPS22, SSN3, SSO1, SSO2, SSP1, SUB1, TOR1, YFR039C, YKL089W, YOL047C, YOR338W, YPR036W-A, YSW1, ZIP2
GO:0007010	cytoskeleton organization	62	891	6.96%	278	6438	4.32%	ACT1, AIM3, AKL1, APC2, ARP10, ARP2, AVO1, BBC1, BEM2, BNI1, BNI4, BNR1, BUD14, CDC12, CDC5, CHC1, CIN1, CLB1, CLB5, DYN1, GEA2, GIC1, GIC2, GLC7, GVP36, IQG1, KEL1, KEL2, KIP2, LSB5, MLP2, MPS2, MYO5, NET1, PAN1, PBS2, RGA2, RHO2, ROM2, RSP5, RTS1, RVS167, SCD5, SFI1, SFK1, SIT4, SLA2, SPC110, SPC42, SPC72, SSK1, SSK2, STU1, STU2, TEM1, TSC11, WHI2, YBL031W, YKL089W, YNL047C, YSC84, YTA6
GO:0033043	regulation of organelle organization	60	891	6.73%	283	6438	4.40%	AIM3, APC1, APC2, ARP2, BBC1, BNI1, BNR1, BUD14, BUR2, CDC13, CDC16, CDC23, CDC5, CDC55, CLB1, CLB5, DSL1, FUN19, GIC2, GLC7, HIR3, HOP1, HSP82, IME1, IQG1, KEL1, KEL2, KIP2, MYO5, NUP53, OAF1, PAN1, PHO23, PIF1, PIK1, PSE1, PSY2, PXR1, RAS2, RCK2, RHO2, ROM2, RSP5, RTS1, SCC2, SDS24, SEC6, SED4, SIR4, SIT4, SLA2, SPC110, SPT16, SSK1, SSK2, STN1, STU1, TPD3, YOR338W, YPT7
GO:0006325	chromatin organization	60	891	6.73%	307	6438	4.77%	ABF1, ADR1, ARP10, ARP5, ARP8, CBF1, CYC8, EAF5, FUN19, GCN5, GIC1, GLC7, HIR3, HST3, HTA2, IFH1, IOC2, ISW2, MCM7, MSI1, MSN2, NAM7, NET1, NUP133, NUP170, NUP60, OAF1, ORC2, ORC5, PHO2, PHO23, POB3, RAD54, RCO1, RSC1, RSC2, RSC58, RSC6, RSC9, RSP5, SAS2, SAS3, SCC2, SCP160, SET4, SIR4, SNF6, SPT16, SPT6, SPT8, SWC5, SWD1, SWP82, TAF12, TTI1, TUP1, YDR026C, YGR274C, YKR095W, YOR338W
GO:0051726	regulation of cell cycle	57	891	6.40%	300	6438	4.66%	AMA1, APC1, APC2, BEM2, BMH2, BUD14, BUR2, CDC16, CDC23, CDC25, CDC5, CDC55, CHK1, CLB1, CLB5, CLN3, CSM3, DCR2, DSL1, EXO1, FUS3, GIC1, GIC2, GLC7, HOG1, HOP1, HSL7, IME1, IQG1, KEL1, KEL2, NET1, NUP53, PCL5, PDR16, PHO81, PSE1, PSY2, RCK2, RIM15, ROM2, RTS1, SCC2, SDS24, SKG6, SLD2, SMC2, SPC72, SPT16, SSD1, SSN3, STE50, SUB1, TEM1, TOR1, TPD3, WHI2
GO:0006281	DNA repair	56	891	6.29%	303	6438	4.71%	ABF1, ACT1, ARP5, ARP8, CSM3, CTF4, DDR48, DNA2, DNL4, EAF5, ECO1, EXO1, HIM1, HPR1, HRQ1, HST3, HTA2, MCM6, MCM7, MLH3, MMS22, MSH3, NUP133, NUP60, PAN2, PDR10, PDS5, PIF1, POB3, PSY2, RAD28, RAD5, RAD54, REV3, RPO21, RRM3, RSC1, RSC2, RTS1, SCC2, SHU2, SIR4, SIT4, SLD2, SMC1, SMC5, SMC6, SNF6, SPT16, SPT5, SUB1, TDP1, TFB1, THO2, YGR053C, YKR095W
