bfa_env,s,s_se,cluster,n_bcs,source
SC,0.012810256547524629,0.00357507296588035,1,58,02M_NaCl_2N
YPD,-0.006188402656129607,0.004962379850179687,1,58,02M_NaCl_2N
pH3_8,0.01160931015167111,0.0054415569483767,1,58,02M_NaCl_2N
X21C,0.023151185489949374,0.004341401015413025,1,58,02M_NaCl_2N
X37C,0.005558114062115415,0.005070052841118273,1,58,02M_NaCl_2N
pH7_3,-0.0011698590873349853,0.004883024305881649,1,58,02M_NaCl_2N
GlyEtOH,0.04277003509721601,0.0047489099510921885,1,58,02M_NaCl_2N
X02M_NaCl,0.017491481621736374,0.004763130586523399,1,58,02M_NaCl_2N
SC,0.007786220644555023,0.0035437706017117,2,4,02M_NaCl_2N
YPD,-0.0040823703057125404,0.004878395351752637,2,4,02M_NaCl_2N
pH3_8,0.008489068096699111,0.005459860701239324,2,4,02M_NaCl_2N
X21C,0.01773429736461775,0.0034132991771080247,2,4,02M_NaCl_2N
X37C,8.750157490053541e-4,0.004926476327392051,2,4,02M_NaCl_2N
pH7_3,8.354502460992883e-4,0.0044327353636474,2,4,02M_NaCl_2N
GlyEtOH,0.014540442121024247,0.0048696128956181375,2,4,02M_NaCl_2N
X02M_NaCl,0.053037183458892606,0.004294104327894274,2,4,02M_NaCl_2N
SC,0.03214525913577938,0.0032042531985935377,3,3,02M_NaCl_2N
YPD,0.004070784986973466,0.0045469797818215125,3,3,02M_NaCl_2N
pH3_8,0.036892666635903744,0.005229227660340135,3,3,02M_NaCl_2N
X21C,0.010947838755257816,0.003194179355093438,3,3,02M_NaCl_2N
X37C,0.036294086327095014,0.004637951698588852,3,3,02M_NaCl_2N
pH7_3,0.02026820715587764,0.003947746053759875,3,3,02M_NaCl_2N
GlyEtOH,0.034248849147307,0.004702949678046887,3,3,02M_NaCl_2N
X02M_NaCl,0.031081046910113756,0.004274085308871213,3,3,02M_NaCl_2N
SC,-0.01919412704111,0.007021033572716125,4,3,02M_NaCl_2N
YPD,-0.037283111684206754,0.00996555022578135,4,3,02M_NaCl_2N
pH3_8,-0.025919380561509,0.009220204192190563,4,3,02M_NaCl_2N
X21C,-0.011677022738147143,0.0065829253312871625,4,3,02M_NaCl_2N
X37C,-0.05152108262195222,0.010009421642725062,4,3,02M_NaCl_2N
pH7_3,-0.019757868566826,0.00870377031489535,4,3,02M_NaCl_2N
GlyEtOH,-0.11699472041741385,0.027243742868891623,4,3,02M_NaCl_2N
X02M_NaCl,-0.04196935991051237,0.009521998118316813,4,3,02M_NaCl_2N
SC,3.5409268425493903e-4,0.004496801194452662,5,3,02M_NaCl_2N
YPD,0.0023514574862703386,0.005356138028721524,5,3,02M_NaCl_2N
pH3_8,-0.009993481362363665,0.006132541436929976,5,3,02M_NaCl_2N
X21C,0.010514163734659824,0.004141103461441625,5,3,02M_NaCl_2N
X37C,-0.004532568719397613,0.00577886916235305,5,3,02M_NaCl_2N
pH7_3,-0.04482705283765288,0.007881096801593112,5,3,02M_NaCl_2N
GlyEtOH,-0.003528946942599213,0.00542018934338845,5,3,02M_NaCl_2N
X02M_NaCl,0.020712362616153127,0.00479222639241335,5,3,02M_NaCl_2N
SC,0.017246744310872246,0.004530903687780588,6,2,02M_NaCl_2N
YPD,0.001957508171471324,0.006538973870716401,6,2,02M_NaCl_2N
pH3_8,0.019550365989552614,0.00615306502899185,6,2,02M_NaCl_2N
X21C,-0.002236758537745299,0.005627902254461275,6,2,02M_NaCl_2N
X37C,0.005209921946963536,0.0058315714707837,6,2,02M_NaCl_2N
pH7_3,0.036305241267613246,0.005140213056770724,6,2,02M_NaCl_2N
GlyEtOH,0.019563682976486623,0.007622307273939387,6,2,02M_NaCl_2N
X02M_NaCl,0.0194161562554645,0.0059239423195886,6,2,02M_NaCl_2N
SC,0.024364484391307624,0.00437223113287005,7,1,02M_NaCl_2N
YPD,-0.00116545545364965,0.006498626414244775,7,1,02M_NaCl_2N
pH3_8,0.02888519222959325,0.005816664478865863,7,1,02M_NaCl_2N
X21C,0.010319758276807362,0.004617070485582225,7,1,02M_NaCl_2N
