bfa_env,s,s_se,cluster,n_bcs,source
SC,0.005054402691276412,0.00507184949950965,1,1,21C_alpha
YPD,-0.006506803206283125,0.006017042132779325,1,1,21C_alpha
pH3_8,2.9256186923529875e-4,0.007084196064732412,1,1,21C_alpha
X21C,-0.009362821221965975,0.00374048456608625,1,1,21C_alpha
X37C,-0.01490792480023125,0.011293757051161875,1,1,21C_alpha
pH7_3,0.014825046997341376,0.004256596436262963,1,1,21C_alpha
FLC4,0.06996693939292074,0.00543716678044495,1,1,21C_alpha
GlyEtOH,0.028042441694032125,0.014164624358116124,1,1,21C_alpha
SC,-0.0506641439408905,0.014107580743000876,2,2,21C_alpha
YPD,-0.053714505815210374,0.015462020658072374,2,2,21C_alpha
pH3_8,-0.06778175415730425,0.019745399591592626,2,2,21C_alpha
X21C,-0.013823588554296377,0.005269564106555463,2,2,21C_alpha
X37C,-0.12979809148338498,0.03204372721621738,2,2,21C_alpha
pH7_3,-0.017573750836795625,0.007157844715189425,2,2,21C_alpha
FLC4,0.01955714642855449,0.018734854964278624,2,2,21C_alpha
GlyEtOH,-0.029117171382665993,0.030649899131694996,2,2,21C_alpha
SC,0.0687385445310825,0.003233315316386625,3,1,21C_alpha
YPD,0.07186604025867062,0.0024093463775587123,3,1,21C_alpha
pH3_8,0.056959584790655625,0.0036219297542428373,3,1,21C_alpha
X21C,0.04781744157487275,0.0029692459140247375,3,1,21C_alpha
X37C,0.0706799447017515,0.007710570417947113,3,1,21C_alpha
pH7_3,0.054683831476815874,0.00278077876431535,3,1,21C_alpha
FLC4,0.022918768895449373,0.010189301587726938,3,1,21C_alpha
GlyEtOH,0.10090788999943474,0.009934556059650938,3,1,21C_alpha
SC,-0.008898186133882985,0.0051777905994035,1,2,37C_alpha
YPD,-0.003828579418579764,0.005211277240884438,1,2,37C_alpha
pH3_8,-0.025156850948066006,0.00853044501108189,1,2,37C_alpha
X21C,0.007751000801352135,0.003026789973482426,1,2,37C_alpha
X37C,-0.004362169276442409,0.00899536080385475,1,2,37C_alpha
pH7_3,0.01783148630941025,0.0034751739248025004,1,2,37C_alpha
FLC4,-0.036682626560337495,0.025460873764349627,1,2,37C_alpha
GlyEtOH,-0.019000821375798255,0.017327690764666875,1,2,37C_alpha
SC,0.0046474491931113625,0.00387034277163655,2,1,37C_alpha
YPD,0.0018009192012600876,0.0042740888232776254,2,1,37C_alpha
pH3_8,-0.012369184299695487,0.005718186161657,2,1,37C_alpha
X21C,-0.003310385083596775,0.0028181624341885874,2,1,37C_alpha
X37C,-0.0127552446358795,0.0082299364317523,2,1,37C_alpha
pH7_3,-0.010184973056931675,0.0038327915848584125,2,1,37C_alpha
FLC4,0.005974355424532175,0.010523766015340363,2,1,37C_alpha
GlyEtOH,-0.07719500476204863,0.0218403744945735,2,1,37C_alpha
SC,-0.0021030200889794173,0.00411380216167695,1,17,CLM_alpha
YPD,-0.003827667866463315,0.004175109058694437,1,17,CLM_alpha
pH3_8,-0.013877913038703003,0.005906900895550526,1,17,CLM_alpha
X21C,-0.006666213934411432,0.0027732736168659374,1,17,CLM_alpha
X37C,-0.0063932462682267654,0.008143990521157975,1,17,CLM_alpha
pH7_3,-0.022266275895076883,0.004069246443651726,1,17,CLM_alpha
FLC4,0.07688044467682427,0.004962846531245114,1,17,CLM_alpha
GlyEtOH,-0.01776503779836163,0.014045246223643625,1,17,CLM_alpha
SC,-0.007083279221030719,0.0038161933842511377,2,39,CLM_alpha
YPD,-0.01094026938984134,0.0038672829282704875,2,39,CLM_alpha
pH3_8,-0.013730123123935276,0.005421804235232975,2,39,CLM_alpha
X21C,-0.007173883092855741,0.0025071312557089875,2,39,CLM_alpha
X37C,-0.010308845631544385,0.007257333059951224,2,39,CLM_alpha
pH7_3,-0.047789094716692515,0.004546544119223675,2,39,CLM_alpha
FLC4,0.07021824184337315,0.004796320305046949,2,39,CLM_alpha
GlyEtOH,-0.007531022158447165,0.01215326958747695,2,39,CLM_alpha
SC,-0.045601331209548124,0.009812710930994287,3,1,CLM_alpha
YPD,-0.06175965500045987,0.011066954901252025,3,1,CLM_alpha
pH3_8,-0.04918332555763363,0.014500133161629375,3,1,CLM_alpha
X21C,-0.03353564179087975,0.00516965750575755,3,1,CLM_alpha
X37C,-0.0967004052677635,0.017772376979084625,3,1,CLM_alpha
pH7_3,-0.12494816272013487,0.013301486241472874,3,1,CLM_alpha
FLC4,0.04841234305562887,0.009784438603871288,3,1,CLM_alpha
GlyEtOH,-0.07167747252568263,0.04977460328479962,3,1,CLM_alpha
SC,-0.0058758133270776294,0.0034697591783298645,4,3,CLM_alpha
YPD,-0.008687155248487354,0.003588981008132137,4,3,CLM_alpha
pH3_8,-0.01894858081829083,0.004918588842785041,4,3,CLM_alpha
X21C,-0.001273540029332324,0.002343466175967119,4,3,CLM_alpha
X37C,-0.020817138673584593,0.007026645108387718,4,3,CLM_alpha
pH7_3,-0.036357839047650116,0.0038378109518644485,4,3,CLM_alpha
FLC4,0.07037846378111597,0.0047048582642530805,4,3,CLM_alpha
GlyEtOH,-2.637121965269988e-4,0.011288058011267983,4,3,CLM_alpha
SC,-0.0208258806053485,0.0065350756536899125,5,1,CLM_alpha
YPD,-0.03240823688800775,0.0073100420038886,5,1,CLM_alpha
pH3_8,-0.03934024498843738,0.010541150788779012,5,1,CLM_alpha
X21C,-0.027362755705629,0.004224753588751087,5,1,CLM_alpha
X37C,-0.03626541069927362,0.010647700313670912,5,1,CLM_alpha
pH7_3,-0.12487505360248324,0.010547333785137163,5,1,CLM_alpha
FLC4,0.059143322366526,0.0068085461840287,5,1,CLM_alpha
GlyEtOH,-0.053866625002173624,0.024984447887793,5,1,CLM_alpha
SC,-0.011566301505068956,0.005261783427531213,6,4,CLM_alpha
YPD,-0.010951447061116374,0.0057724218511110365,6,4,CLM_alpha
pH3_8,-0.03613804252830025,0.008657023346528663,6,4,CLM_alpha
X21C,-0.04054831734405024,0.004585574361959612,6,4,CLM_alpha
X37C,-0.019106029476700745,0.00963585718301386,6,4,CLM_alpha
pH7_3,-0.014029409686647499,0.004604553982949049,6,4,CLM_alpha
FLC4,0.07010612632654886,0.0054711011620517625,6,4,CLM_alpha
GlyEtOH,-0.008165752794199562,0.015912133789997125,6,4,CLM_alpha
SC,-0.00326468711148685,0.0038830100299851126,7,1,CLM_alpha
YPD,-0.00318946784122205,0.004144675342875325,7,1,CLM_alpha
pH3_8,-0.0129138485043845,0.005586072514896325,7,1,CLM_alpha
X21C,-0.0029067401801457,0.0026971869040214626,7,1,CLM_alpha
