ASSAY,ENV,REP,TIME,Reason
dBFA2,02M_NaCl,R1,24,AT1
dBFA2,02M_NaCl,R2,32,AT2
dBFA2,21C,R1,40,AT2
dBFA2,21C,R2,16;24,AT1
dBFA2,21C,R3,32,AT2
dBFA2,37C,R1,16,AT3
dBFA2,37C,R3,32,AT3
dBFA2,GlyEtOH,R2,32;40,AT1
dBFA2,GlyEtOH,R3,24;32;40,AT2
dBFA2,SC,R1,16,AT3
dBFA2,SC,R2,40,AT3
dBFA2,pH3_8,R1,8;32,AT2;AT3
dBFA2,pH3_8,R2,8;24,AT1
dBFA2,pH3_8,R3,32,AT3
dBFA2,CLM,R1,24;32;40,Extinction
dBFA2,CLM,R2,24;32;40,Extinction
dBFA2,CLM,R3,24;32;40,Extinction
dBFA2,FLC4,R1,24;32;40,Extinction
dBFA2,FLC4,R2,24;32;40,Extinction
dBFA2,FLC4,R3,24;32;40,Extinction
hBFA1,37C,R2,24,AT1
hBFA1,GlyEtOH,R1,24,AT1
hBFA1,pH3_8,R2,16,AT2
hBFA1,FLC4,R2,16,AT1
hBFA2,37C,R3,16,AT1
hBFA2,CLM,R1,24;32;40,Extinction
hBFA2,CLM,R2,24;32;40,Extinction
hBFA2,CLM,R3,24;32;40,Extinction
hBFA2,FLC4,R1,32;40,Extinction
hBFA2,FLC4,R2,32;40,Extinction
hBFA2,FLC4,R3,8;32;40,Xcontam(8);Extinction
hBFA2,GlyEtOH,R1,40,Xcontam
hBFA2,SC,R3,24,AT2
hBFA2,pH3_8,R3,EXCLUDE ALL,AT1
hBFA2,pH7_3,R3,EXCLUDE ALL,AT1
hBFA2,YPD,R3,EXCLUDE ALL,AT1
