GOID,GENE
GO:0000054,ARX1
GO:0000054,CRM1
GO:0000054,LSG1
GO:0000054,NIC96
GO:0000054,NUP116
GO:0000054,REA1
GO:0000054,RLI1
GO:0000054,RSP5
GO:0000278,ACT1
GO:0000278,AFT1
GO:0000278,APC1
GO:0000278,APC2
GO:0000278,ARP10
GO:0000278,BEM2
GO:0000278,BNI1
GO:0000278,BNR1
GO:0000278,CDC12
GO:0000278,CDC16
GO:0000278,CDC23
GO:0000278,CDC25
GO:0000278,CDC5
GO:0000278,CDC55
GO:0000278,CHK1
GO:0000278,CLB1
GO:0000278,CLB5
GO:0000278,CLN3
GO:0000278,CSM3
GO:0000278,CTF4
GO:0000278,CYK3
GO:0000278,DCC1
GO:0000278,DCR2
GO:0000278,DSL1
GO:0000278,DSN1
GO:0000278,DYN1
GO:0000278,ECO1
GO:0000278,EXO1
GO:0000278,GIC1
GO:0000278,GIC2
GO:0000278,GLC7
GO:0000278,HIR3
GO:0000278,HOG1
GO:0000278,HSL7
GO:0000278,IQG1
GO:0000278,KAP104
GO:0000278,KEL1
GO:0000278,KEL2
GO:0000278,MCM6
GO:0000278,MSA2
GO:0000278,MYO5
GO:0000278,NBA1
GO:0000278,NDD1
GO:0000278,NET1
GO:0000278,NSL1
GO:0000278,NUP53
GO:0000278,PAN1
GO:0000278,PDS5
GO:0000278,PSE1
GO:0000278,RIM15
GO:0000278,ROM2
GO:0000278,RTS1
GO:0000278,RVS167
GO:0000278,SAP155
GO:0000278,SAP185
GO:0000278,SCC2
GO:0000278,SDS24
GO:0000278,SFI1
GO:0000278,SIT4
GO:0000278,SKG6
GO:0000278,SLA2
GO:0000278,SLD2
GO:0000278,SMC1
GO:0000278,SMC2
GO:0000278,SPC110
GO:0000278,SPC72
GO:0000278,SPT6
GO:0000278,STB1
GO:0000278,STU1
GO:0000278,STU2
GO:0000278,SWI4
GO:0000278,SWI5
GO:0000278,TEM1
GO:0000278,TPD3
GO:0000278,YBL031W
GO:0000278,YGR053C
GO:0000278,YKL089W
GO:0000746,AGA1
GO:0000746,CCW12
GO:0000746,DNF1
GO:0000746,FUS3
GO:0000746,KEL1
GO:0000746,KEL2
GO:0000746,MSG5
GO:0000746,PRM2
GO:0000746,RSP5
GO:0000746,SCP160
GO:0000746,SCW10
GO:0000746,SCW4
GO:0000746,SPC110
GO:0000746,STE11
GO:0000746,STE12
GO:0000746,STE24
GO:0000746,STE5
GO:0000746,STE50
GO:0000746,YJR084W
GO:0000902,BUD14
GO:0000902,CIN2
GO:0000902,DOP1
GO:0000902,GIC1
GO:0000902,GIC2
GO:0000902,GLC7
GO:0000902,GPB1
GO:0000902,GPB2
GO:0000902,KEL1
GO:0000902,KEL2
GO:0000902,RHO2
GO:0000902,RSP5
GO:0000910,ACT1
GO:0000910,APC2
GO:0000910,BNI1
GO:0000910,BNI4
GO:0000910,BNR1
GO:0000910,BUD14
GO:0000910,CDC12
GO:0000910,CDC5
GO:0000910,CYK3
GO:0000910,GLC7
GO:0000910,IQG1
GO:0000910,KEL1
GO:0000910,KEL2
GO:0000910,MYO5
GO:0000910,NBA1
GO:0000910,NET1
GO:0000910,PAN1
GO:0000910,ROM2
GO:0000910,RTS1
GO:0000910,RVS167
GO:0000910,SEC4
GO:0000910,SKG6
GO:0000910,SLA2
GO:0001403,DIG1
GO:0001403,FUS3
GO:0001403,GAL11
GO:0001403,GPA2
GO:0001403,GPB1
GO:0001403,GPB2
GO:0001403,PHO23
GO:0001403,PTP1
GO:0001403,RIM8
GO:0001403,SIP2
GO:0001403,STE11
GO:0001403,STE12
GO:0001403,STE5
GO:0001403,TUP1
GO:0002181,DPH1
GO:0002181,GCD1
GO:0002181,KTI11
GO:0002181,RDN5-1
GO:0002181,RPL18B
GO:0002181,RPL25
GO:0002181,RPL27A
GO:0002181,RPL41B
GO:0002181,RPL42B
GO:0002181,RPL6B
GO:0002181,RPS11A
GO:0002181,RPS11B
GO:0002181,RPS22B
GO:0002181,RPS24A
GO:0002181,RPS28B
GO:0002181,RPS30A
GO:0002181,TIF2
GO:0002181,TMA108
GO:0005975,BMH2
GO:0005975,CRH1
GO:0005975,CRR1
GO:0005975,DGA1
GO:0005975,FBP1
GO:0005975,GAL10
GO:0005975,GAL2
GO:0005975,GAS3
GO:0005975,GAS4
GO:0005975,GCY1
GO:0005975,GLC7
GO:0005975,GPD2
GO:0005975,IMA1
GO:0005975,KRE5
GO:0005975,KRE6
GO:0005975,MAL13
GO:0005975,MDH1
GO:0005975,MNS1
GO:0005975,NTH2
GO:0005975,PFK26
GO:0005975,PHO13
GO:0005975,RBS1
GO:0005975,SAK1
GO:0005975,SCW10
GO:0005975,SCW4
GO:0005975,TCO89
GO:0005975,TDH3
GO:0005975,UBP14
GO:0005975,YGR066C
GO:0005975,YIL167W
GO:0005975,YMR196W
GO:0005975,ZWF1
GO:0006091,ACS1
GO:0006091,ADH4
GO:0006091,ALD6
GO:0006091,BMH2
GO:0006091,COR1
GO:0006091,COX6
GO:0006091,CSF1
GO:0006091,GLC7
GO:0006091,NCP1
GO:0006091,NDE1
GO:0006091,RGI2
GO:0006091,SAK1
GO:0006091,TDH3
GO:0006091,YJL045W
GO:0006091,ZWF1
GO:0006260,ABF1
GO:0006260,BMH2
GO:0006260,CDC16
GO:0006260,CHK1
GO:0006260,CLB5
GO:0006260,CSM3
GO:0006260,CTF4
GO:0006260,DCC1
GO:0006260,DNA2
GO:0006260,DNL4
GO:0006260,ECO1
GO:0006260,GLC7
GO:0006260,HOG1
GO:0006260,MCM6
GO:0006260,MCM7
GO:0006260,MMS22
GO:0006260,MSH3
GO:0006260,NOC3
GO:0006260,ORC2
GO:0006260,ORC5
GO:0006260,PIF1
GO:0006260,POB3
GO:0006260,RCO1
GO:0006260,REV3
GO:0006260,RRM3
GO:0006260,SAK1
GO:0006260,SLD2
GO:0006260,SPT16
GO:0006260,YGR053C
GO:0006281,ABF1
GO:0006281,ACT1
GO:0006281,ARP5
GO:0006281,ARP8
GO:0006281,CSM3
GO:0006281,CTF4
GO:0006281,DDR48
GO:0006281,DNA2
GO:0006281,DNL4
GO:0006281,EAF5
GO:0006281,ECO1
GO:0006281,EXO1
GO:0006281,HIM1
GO:0006281,HPR1
GO:0006281,HRQ1
GO:0006281,HST3
GO:0006281,HTA2
GO:0006281,MCM6
GO:0006281,MCM7
GO:0006281,MLH3
GO:0006281,MMS22
GO:0006281,MSH3
GO:0006281,NUP133
GO:0006281,NUP60
GO:0006281,PAN2
GO:0006281,PDR10
GO:0006281,PDS5
GO:0006281,PIF1
GO:0006281,POB3
GO:0006281,PSY2
GO:0006281,RAD28
GO:0006281,RAD5
GO:0006281,RAD54
GO:0006281,REV3
GO:0006281,RPO21
GO:0006281,RRM3
GO:0006281,RSC1
GO:0006281,RSC2
GO:0006281,RTS1
GO:0006281,SCC2
GO:0006281,SHU2
GO:0006281,SIR4
GO:0006281,SIT4
GO:0006281,SLD2
GO:0006281,SMC1
GO:0006281,SMC5
GO:0006281,SMC6
GO:0006281,SNF6
GO:0006281,SPT16
GO:0006281,SPT5
GO:0006281,SUB1
GO:0006281,TDP1
GO:0006281,TFB1
GO:0006281,THO2
GO:0006281,YGR053C
GO:0006281,YKR095W
GO:0006310,ARP8
GO:0006310,CDC5
GO:0006310,CTF4
GO:0006310,DNL4
GO:0006310,EXO1
GO:0006310,HPR1
GO:0006310,HST3
GO:0006310,MCM6
GO:0006310,MCM7
GO:0006310,MLH3
GO:0006310,MMS22
GO:0006310,MSC1
GO:0006310,MSC7
GO:0006310,MSH3
GO:0006310,NAM7
GO:0006310,NMD2
GO:0006310,PDR10
GO:0006310,PIF1
GO:0006310,RAD54
GO:0006310,REV3
GO:0006310,RSC2
GO:0006310,SCC2
GO:0006310,SHU2
GO:0006310,SLD2
GO:0006310,SMC5
GO:0006310,SMC6
GO:0006310,THO2
GO:0006310,UPF3
GO:0006310,YBL100W-B
GO:0006310,YHR214C-B
GO:0006310,YOR192C-B
GO:0006310,ZIP2
GO:0006325,ABF1
GO:0006325,ADR1
GO:0006325,ARP10
GO:0006325,ARP5
GO:0006325,ARP8
GO:0006325,CBF1
GO:0006325,CYC8
GO:0006325,EAF5
GO:0006325,FUN19
GO:0006325,GCN5
GO:0006325,GIC1
GO:0006325,GLC7
GO:0006325,HIR3
GO:0006325,HST3
GO:0006325,HTA2
GO:0006325,IFH1
GO:0006325,IOC2
GO:0006325,ISW2
GO:0006325,MCM7
GO:0006325,MSI1
GO:0006325,MSN2
GO:0006325,NAM7
GO:0006325,NET1
GO:0006325,NUP133
GO:0006325,NUP170
GO:0006325,NUP60
GO:0006325,OAF1
