,x
1,2N_FLC_P1_A1
2,2N_FLC_P1_A11
3,2N_FLC_P1_A2
4,2N_FLC_P1_A3
5,2N_FLC_P1_A4
6,2N_FLC_P1_A5
7,2N_FLC_P1_B1
8,2N_FLC_P1_B10
9,2N_FLC_P1_B12
10,2N_FLC_P1_B2
11,2N_FLC_P1_B2
12,2N_FLC_P1_B3
13,2N_FLC_P1_B7
14,2N_FLC_P1_B8
15,2N_FLC_P1_B9
16,2N_FLC_P1_C1
17,2N_FLC_P1_C11
18,2N_FLC_P1_C2
19,2N_FLC_P1_C5
20,2N_FLC_P1_C7
21,2N_FLC_P1_C9
22,2N_FLC_P1_D3
23,2N_FLC_P1_D4
24,2N_FLC_P1_D5
25,2N_FLC_P1_D6
26,2N_FLC_P1_D7
27,2N_FLC_P1_D9
28,2N_FLC_P1_E10
29,2N_FLC_P1_E12
30,2N_FLC_P1_E2
31,2N_FLC_P1_E4
32,2N_FLC_P1_E6
33,2N_FLC_P1_E9
34,2N_FLC_P1_F4
35,2N_FLC_P1_F6
36,2N_FLC_P1_F7
37,2N_FLC_P1_F9
38,2N_FLC_P2_A1
39,2N_FLC_P2_A11
40,2N_FLC_P2_A2
41,2N_FLC_P2_A3
42,2N_FLC_P2_A7
43,2N_FLC_P2_A8
44,2N_FLC_P2_B10
45,2N_FLC_P2_B11
46,2N_FLC_P2_B2
47,2N_FLC_P2_B4
48,2N_FLC_P2_B5
49,2N_FLC_P2_B6
50,2N_FLC_P2_C1
51,2N_FLC_P2_C11
52,2N_FLC_P2_C2
53,2N_FLC_P2_C3
54,2N_FLC_P2_C5
55,2N_FLC_P2_C7
56,2N_FLC_P2_C9
57,2N_FLC_P2_D1
58,2N_FLC_P2_D2
59,2N_FLC_P2_D4
60,2N_FLC_P2_D5
61,2N_FLC_P2_D6
62,2N_FLC_P2_D9
63,2N_FLC_P2_E1
64,2N_FLC_P2_E10
65,2N_FLC_P2_E11
66,2N_FLC_P2_E3
67,2N_FLC_P2_E4
68,2N_FLC_P2_E5
69,2N_FLC_P2_E6
70,2N_FLC_P2_E9
71,2N_FLC_P2_F12
72,2N_FLC_P2_F2
73,2N_FLC_P2_F4
74,2N_FLC_P2_F7
75,2N_FLC_P2_F8
76,2N_FLC_P3_A1
77,2N_FLC_P3_A10
78,2N_FLC_P3_A11
79,2N_FLC_P3_A12
80,2N_FLC_P3_A2
81,2N_FLC_P3_A4
82,2N_FLC_P3_A5
83,2N_FLC_P3_A6
84,2N_FLC_P3_A8
85,2N_FLC_P3_A9
86,2N_FLC_P3_B1
87,2N_FLC_P3_B10
88,2N_FLC_P3_B11
89,2N_FLC_P3_B12
90,2N_FLC_P3_B2
91,2N_FLC_P3_B3
92,2N_FLC_P3_B4
93,2N_FLC_P3_B5
94,2N_FLC_P3_B6
95,2N_FLC_P3_B7
96,2N_FLC_P3_B8
97,2N_FLC_P3_B9
98,2N_FLC_P3_C1
99,2N_FLC_P3_C11
100,2N_FLC_P3_C12
101,2N_FLC_P3_C2
102,2N_FLC_P3_C3
103,2N_FLC_P3_C4
104,2N_FLC_P3_C5
105,2N_FLC_P3_C6
106,2N_FLC_P3_C7
107,2N_FLC_P3_C8
108,2N_FLC_P3_C9
109,2N_FLC_P3_D1
110,2N_FLC_P3_D10
111,2N_FLC_P3_D11
112,2N_FLC_P3_D12
113,2N_FLC_P3_D2
114,2N_FLC_P3_D3
115,2N_FLC_P3_D4
116,2N_FLC_P3_D6
117,2N_FLC_P3_D7
118,2N_FLC_P3_D7
119,2N_FLC_P3_D8
120,2N_FLC_P3_D9
121,2N_FLC_P3_E1
122,2N_FLC_P3_E10
123,2N_FLC_P3_E11
124,2N_FLC_P3_E12
125,2N_FLC_P3_E2
126,2N_FLC_P3_E3
127,2N_FLC_P3_E4
128,2N_FLC_P3_E5
129,2N_FLC_P3_E6
130,2N_FLC_P3_E7
131,2N_FLC_P3_E8
132,2N_FLC_P3_E9
133,2N_FLC_P3_F1
134,2N_FLC_P3_F10
135,2N_FLC_P3_F12
136,2N_FLC_P3_F2
137,2N_FLC_P3_F3
138,2N_FLC_P3_F4
139,2N_FLC_P3_F5
140,2N_FLC_P3_F6
141,2N_FLC_P3_F7
142,2N_FLC_P3_F8
143,2N_FLC_P3_F9
144,2N_FLC_P3_G1
145,2N_FLC_P3_G10
146,2N_FLC_P3_G11
147,2N_FLC_P3_G12
148,2N_FLC_P3_G2
149,2N_FLC_P3_G3
150,2N_FLC_P3_G4
151,2N_FLC_P3_G5
152,2N_FLC_P3_G6
153,2N_FLC_P3_G7
154,2N_FLC_P3_G9
155,CLM-2N-R1-2-A2
156,CLM-2N-R1-2-A3
157,CLM-2N-R1-2-A4
158,CLM-2N-R1-2-A5
159,CLM-2N-R1-2-A8
160,CLM-2N-R1-2-B1
161,CLM-2N-R1-2-B2
162,CLM-2N-R1-2-B3
163,CLM-2N-R1-2-B4
164,CLM-2N-R1-2-B6
165,CLM-2N-R1-2-B7
166,CLM-2N-R1-2-B8
167,CLM-2N-R1-2-C1
168,CLM-2N-R1-2-C2
169,CLM-2N-R1-2-C4
170,CLM-2N-R1-2-C5
171,CLM-2N-R1-2-C7
172,CLM-2N-R1-2-D4
173,CLM-2N-R1-2-D5
174,CLM-2N-R1-2-D6
175,CLM-2N-R1-2-E2
176,CLM-2N-R1-2-E3
177,CLM-2N-R1-2-E5
178,CLM-2N-R1-2-E6
179,CLM-2N-R1-2-E7
180,CLM-2N-R1-2-F1
181,CLM-2N-R1-2-F2
182,CLM-2N-R1-2-F3
183,CLM-2N-R1-2-F4
184,CLM-2N-R1-2-F6
185,CLM-2N-R1-2-G3
186,CLM-2N-R1-2-G4
187,CLM-2N-R1-2-G7
188,CLM-2N-R1-2-H2
189,CLM-2N-R1-2-H3
190,CLM-2N-R1-2-H4
191,CLM-2N-R1-2-H6
192,CLM-2N-R1-2-H7
193,CLM-2N-R2-2-A2
194,CLM-2N-R2-2-A3
195,CLM-2N-R2-2-B3
196,CLM-2N-R2-2-B7
197,CLM-2N-R2-2-C1
198,CLM-2N-R2-2-C2
199,CLM-2N-R2-2-C3
200,CLM-2N-R2-2-C7
201,CLM-2N-R2-2-D2
202,CLM-2N-R2-2-D3
203,CLM-2N-R2-2-E1
