source,cluster,bfa_env,wmu_x,wse,z,pleio,is_home
02M_NaCl,1,02M_NaCl,0.031405863915697725,0.006985253010347345,4.49602381891906,1,TRUE
21C,1,02M_NaCl,0.03316214093458104,0.004396263474866266,7.543256022795546,1,FALSE
37C,1,02M_NaCl,0.020737489264862234,0.005576787136310247,3.718536992355552,1,FALSE
CLM,1,02M_NaCl,-0.007989313967055118,0.00622931601254218,-1.282534703805255,0,FALSE
FLC4,1,02M_NaCl,-0.06478886741208659,0.015617093721477855,-4.148586706820095,-1,FALSE
GlyEtOH,1,02M_NaCl,0.006806193117664908,0.005872013411699238,1.1590901860177014,0,FALSE
pH3_8,1,02M_NaCl,0.030438999756736577,0.004807760475412128,6.331222179725437,1,FALSE
SC,1,02M_NaCl,0.02680652103693025,0.005235484809257888,5.120160216973294,1,FALSE
YPD,1,02M_NaCl,0.009320201381076424,0.0037967820409566602,2.454763344468425,1,FALSE
02M_NaCl,2,02M_NaCl,0.04077906436712196,0.010149938415126646,4.017666186658645,1,TRUE
21C,2,02M_NaCl,0.011125641419156743,0.006166781519024395,1.804124466682396,0,FALSE
37C,2,02M_NaCl,0.007691978751530748,0.0055988962200896565,1.373838422639592,0,FALSE
CLM,2,02M_NaCl,-0.018028618783833,0.00549870893344005,-3.2787003280339317,-1,FALSE
FLC4,2,02M_NaCl,-0.0216536155415685,0.005250724996597939,-4.1239287061497905,-1,FALSE
GlyEtOH,2,02M_NaCl,-0.02441379246937488,0.011607820251321527,-2.103219376316188,-1,FALSE
YPD,2,02M_NaCl,0.012758006763739876,0.0056440629142465,2.2604295801764835,1,FALSE
02M_NaCl,3,02M_NaCl,0.029451177468048376,0.004080237353744275,7.218005942968533,1,TRUE
37C,3,02M_NaCl,0.005898349240396625,0.005961826438225812,0.9893527263017611,0,FALSE
FLC4,3,02M_NaCl,-0.12624530592978747,0.004483631552485023,-28.156931374036933,-1,FALSE
GlyEtOH,3,02M_NaCl,-0.012659856966354922,0.010381295883735717,-1.2194871534476737,0,FALSE
pH3_8,3,02M_NaCl,0.034910913325287375,0.004974347636643663,7.018189293429195,1,FALSE
pH7_3,3,02M_NaCl,-0.003950764485926887,0.0070625519639994465,-0.5593961653047593,0,FALSE
YPD,3,02M_NaCl,0.03411488422311588,0.004661482448610275,7.318462441768183,1,FALSE
21C,4,02M_NaCl,0.045561830968848346,0.008796319456143481,5.179647146287676,1,FALSE
37C,4,02M_NaCl,0.028344046584304727,0.004307568960606525,6.580056371358419,1,FALSE
FLC4,4,02M_NaCl,-0.03046091917912407,0.007841727781708491,-3.8844652641700725,-1,FALSE
GlyEtOH,4,02M_NaCl,-0.01358361171118682,0.00887016193930848,-1.5313826065554113,0,FALSE
pH7_3,4,02M_NaCl,-0.019330011219791308,0.004439711312652954,-4.353889219035875,-1,FALSE
02M_NaCl,5,02M_NaCl,0.022049805300424875,0.0014869555347466867,14.828826272993572,1,TRUE
21C,5,02M_NaCl,0.03025249887965175,0.005248272305715962,5.7642776741411375,1,FALSE
37C,5,02M_NaCl,0.026272497686060367,0.003809916229879388,6.895820301773954,1,FALSE
FLC4,5,02M_NaCl,-0.007509934349105763,0.01229049411003243,-0.611035999193522,0,FALSE
GlyEtOH,5,02M_NaCl,0.011494873133268075,0.004749679130273763,2.4201367751352776,1,FALSE
