source,cluster,n_pleio_pos,n_pleio_neg,n_pleio_none,n_pleio_any,n_pleio_net,n_bfa_envs,wmu_x_home,wse_home,wmu_x_away,wse_away,n_bcs,wsd_away
02M_NaCl,1,5,0,5,5,5,10,0.031405863915697725,0.006985253010347345,0.007765819072415802,0.003086275976248366,55,0.009759661572804564
02M_NaCl,2,3,0,7,3,3,10,0.04077906436712196,0.010149938415126646,5.957890844570602e-4,0.004077272934352903,4,0.012893469114713361
02M_NaCl,3,8,0,2,8,8,10,0.029451177468048376,0.004080237353744275,0.02760163978632431,0.005019508669605174,3,0.015873080130913944
02M_NaCl,5,4,1,5,5,3,10,0.022049805300424875,0.0014869555347466867,0.018724063200493697,0.01757026071154861,3,0.05556204293146434
02M_NaCl,6,5,0,5,5,5,10,0.0194161562554645,0.0059239423195886,0.014938756285187085,0.004432389599070835,1,0.014016446610304382
02M_NaCl,7,6,1,3,7,5,10,0.01677736428273,0.005433780098667162,0.012854085032265915,0.005144479485241547,1,0.01626827254937387
21C,1,5,0,5,5,5,10,0.024665500658825973,0.003938598363209403,0.010366490600437515,0.003794268783104132,122,0.011998531409484458
21C,10,9,0,1,9,9,10,0.037116376068075,0.0029052201415102875,0.033399196204584786,0.011133132415456258,1,0.03520605592509376
21C,2,6,0,4,6,6,10,0.011031756308362959,0.0021422034961570617,0.010191255876248095,0.0020440531287357483,4,0.006463863545198337
21C,4,7,2,1,9,5,10,0.03413310206159973,0.003914523997457129,0.003376998734211143,0.007318458434110882,3,0.023142997613059702
21C,5,8,0,2,8,8,10,0.0287173989028675,0.004475867810736525,0.026269772421599027,0.005456456506995395,1,0.017254830515751926
21C,6,5,4,1,9,1,10,0.007128735228648566,0.002628917000077718,0.001277857436287005,0.005017870702696323,2,0.01586790042474999
21C,7,6,0,4,6,6,10,0.0410144439343196,0.006591438896414273,0.01603357950278618,0.006385013832226648,3,0.020191186601516423
21C,8,6,2,2,8,4,10,0.03180804431061861,0.0033099221639324833,0.0041789919783039265,0.00893252519712481,2,0.028247124879758934
