source,p_wgs,p_adapted_w_wgs,n_clusters,bc_set,bc_count
FLC4,0.21,0.21,8,n_bcs,569
FLC4,0.21,0.21,8,n_bcs_adapted,552
FLC4,0.21,0.21,8,n_bcs_adapted_wgs,116
21C,0.05,0.12,10,n_bcs,331
21C,0.05,0.12,10,n_bcs_adapted,139
21C,0.05,0.12,10,n_bcs_adapted_wgs,16
GlyEtOH,0.11,0.14,14,n_bcs,162
GlyEtOH,0.11,0.14,14,n_bcs_adapted,110
GlyEtOH,0.11,0.14,14,n_bcs_adapted_wgs,15
CLM,0.31,0.3,3,n_bcs,95
CLM,0.31,0.3,3,n_bcs_adapted,82
CLM,0.31,0.3,3,n_bcs_adapted_wgs,25
02M_NaCl,0.04,0.12,7,n_bcs,426
02M_NaCl,0.04,0.12,7,n_bcs_adapted,67
02M_NaCl,0.04,0.12,7,n_bcs_adapted_wgs,8
37C,0.04,0.15,9,n_bcs,325
37C,0.04,0.15,9,n_bcs_adapted,27
37C,0.04,0.15,9,n_bcs_adapted_wgs,4
pH3_8,0,0,6,n_bcs,378
pH3_8,0,0,6,n_bcs_adapted,25
pH3_8,0,0,6,n_bcs_adapted_wgs,0
pH7_3,0.02,0.17,4,n_bcs,343
pH7_3,0.02,0.17,4,n_bcs_adapted,24
pH7_3,0.02,0.17,4,n_bcs_adapted_wgs,4
YPD,0,0,4,n_bcs,279
YPD,0,0,4,n_bcs_adapted,15
YPD,0,0,4,n_bcs_adapted_wgs,0
48Hr,0,0,7,n_bcs,123
48Hr,0,0,7,n_bcs_adapted,13
48Hr,0,0,7,n_bcs_adapted_wgs,0
SC,0,0,2,n_bcs,289
SC,0,0,2,n_bcs_adapted,1
SC,0,0,2,n_bcs_adapted_wgs,0
Ancestor_YPD,0.01,NA,1,n_bcs,90
Ancestor_YPD,0.01,NA,1,n_bcs_adapted,0
Ancestor_YPD,0.01,NA,1,n_bcs_adapted_wgs,0
