source  ,cluster ,bfa_env ,wmu_x                  ,wse                   ,z                     ,pleio ,is_home
21C     ,1       ,21C     ,0.0031561789429594626  ,0.0037240197325632374 ,0.8475193929187559    ,0     ,TRUE
CLM     ,1       ,21C     ,-0.0029663190073921574 ,0.002180147078466582  ,-1.3606049961906852   ,0     ,FALSE
FLC4    ,1       ,21C     ,-0.0226813300430629    ,0.0032515644997493983 ,-6.975512878434666    ,-1    ,FALSE
GlyEtOH ,1       ,21C     ,-0.00895286458776939   ,0.011883288204965642  ,-0.7533996006280718   ,0     ,FALSE
pH7_3   ,1       ,21C     ,-0.021396953483699185  ,0.004149749310083689  ,-5.156203877594637    ,-1    ,FALSE
SC      ,1       ,21C     ,0.015130599448973875   ,0.00278433485118665   ,5.434188148212631     ,1     ,FALSE
YPD     ,1       ,21C     ,0.08218531712311213    ,0.0019637438616992    ,41.85134259413971     ,1     ,FALSE
21C     ,2       ,21C     ,0.04781744157487275    ,0.0029692459140247375 ,16.104237560457705    ,1     ,TRUE
CLM     ,2       ,21C     ,-0.009100777082814917  ,0.007421373391767456  ,-1.2262928439782355   ,0     ,FALSE
FLC4    ,2       ,21C     ,-0.016825917615362642  ,9.244572622982599e-4  ,-18.200860441652363   ,-1    ,FALSE
GlyEtOH ,2       ,21C     ,-0.012665619531153294  ,0.004488060734830219  ,-2.8220695484042797   ,-1    ,FALSE
SC      ,2       ,21C     ,3.226599395792275e-4   ,0.0029718482006567877 ,0.10857214695821901   ,0     ,FALSE
YPD     ,2       ,21C     ,0.01537392305896784    ,0.012275171779749846  ,1.2524405633434763    ,0     ,FALSE
CLM     ,3       ,21C     ,-0.02983453892484859   ,0.004364889610372886  ,-6.835118774584513    ,-1    ,FALSE
FLC4    ,3       ,21C     ,0.031805251925087534   ,9.906566202776692e-4  ,32.105223216671085    ,1     ,FALSE
GlyEtOH ,3       ,21C     ,-0.027045409978963854  ,0.01369228629813863   ,-1.9752296577847988   ,-1    ,FALSE
SC      ,3       ,21C     ,0.024932191164149124   ,0.0027559521865208373 ,9.046670434302404     ,1     ,FALSE
CLM     ,4       ,21C     ,-0.04122209304648813   ,0.00641685440399019   ,-6.4240343400740105   ,-1    ,FALSE
FLC4    ,4       ,21C     ,-0.010302158143924042  ,0.003521663818827159  ,-2.9253667226405025   ,-1    ,FALSE
GlyEtOH ,4       ,21C     ,-0.008207585612850803  ,0.00271245354327105   ,-3.025889838081048    ,-1    ,FALSE
SC      ,4       ,21C     ,-0.004173479291297137  ,0.00351930231159755   ,-1.1858825760844145   ,0     ,FALSE
CLM     ,5       ,21C     ,0.0059824332786257125  ,0.00207644183373995   ,2.881098416251106     ,1     ,FALSE
FLC4    ,5       ,21C     ,-0.002348011142949841  ,0.006039757880856285  ,-0.3887591504937864   ,0     ,FALSE
GlyEtOH ,5       ,21C     ,0.00432595008444905    ,0.003782086773394125  ,1.1437997972127039    ,0     ,FALSE
SC      ,5       ,21C     ,-0.01568027454241139   ,6.69334202400878e-4   ,-23.426674576268184   ,-1    ,FALSE
CLM     ,6       ,21C     ,-0.015625555381626625  ,0.002590260593323925  ,-6.032426012231956    ,-1    ,FALSE
FLC4    ,6       ,21C     ,-8.534604225794999e-4  ,0.006528838994266345  ,-0.13072162191915174  ,0     ,FALSE
GlyEtOH ,6       ,21C     ,-0.02879710776512007   ,0.004909342195494281  ,-5.865777250473519    ,-1    ,FALSE
FLC4    ,7       ,21C     ,0.004816740980555954   ,0.006107257691138388  ,0.7886912955294206    ,0     ,FALSE
GlyEtOH ,7       ,21C     ,-0.02699990402604225   ,0.0073949511538963    ,-3.651126757181671    ,-1    ,FALSE
FLC4    ,8       ,21C     ,0.012535648820848334   ,1.0989724353202766e-4 ,114.06699948024661    ,1     ,FALSE
GlyEtOH ,8       ,21C     ,-0.027371610898116794  ,0.00873615659158237   ,-3.133141057074276    ,-1    ,FALSE
FLC4    ,9       ,21C     ,0.05616266033907399    ,0.00989324206035466   ,5.676871140567304     ,1     ,FALSE
GlyEtOH ,9       ,21C     ,0.01731922268426       ,0.004858490284139613  ,3.564733419514711     ,1     ,FALSE
FLC4    ,10      ,21C     ,-0.02139778287981564   ,0.0011714439096780957 ,-18.266160849046198   ,-1    ,FALSE
GlyEtOH ,10      ,21C     ,-0.03737877812143131   ,0.0013757888541135626 ,-27.1689787351235     ,-1    ,FALSE
